Epoch,Time,accuracy,loss,val_accuracy,val_loss
1,null,0.5698,1.7488,0.7626,1.0928
2,null,0.7684,0.9571,0.8109,0.8192
3,null,0.8134,0.7490,0.8451,0.6701
4,null,0.8355,0.6413,0.8486,0.6055
5,null,0.8519,0.5730,0.8562,0.5650
6,null,0.8580,0.5229,0.8599,0.5226
7,null,0.8673,0.4897,0.8702,0.4817
8,null,0.8751,0.4586,0.8778,0.4687
9,null,0.8790,0.4399,0.8735,0.4552
10,null,0.8825,0.4202,0.8819,0.4390
11,null,0.8859,0.4080,0.8842,0.4270
12,null,0.8836,0.3968,0.8815,0.4192
13,null,0.8870,0.3824,0.8835,0.3977
14,null,0.8942,0.3651,0.8866,0.3997
15,null,0.8973,0.3547,0.8930,0.3747
16,null,0.8989,0.3511,0.8877,0.3943
17,null,0.8986,0.3439,0.8971,0.3714
18,null,0.9012,0.3367,0.8934,0.3806
19,null,0.9013,0.3271,0.8959,0.3700
20,null,0.9019,0.3302,0.8942,0.3700
