Epoch,Time,accuracy,loss,val_accuracy,val_loss
1,169s,0.4193,8.0908,0.5160,5.1144
2,113s,0.8849,2.6641,0.9453,1.6344
3,112s,0.9598,1.2123,0.9909,0.8014
4,112s,0.9751,0.7496,0.9700,0.6234
5,111s,0.9815,0.5927,0.9823,0.5104
6,111s,0.9894,0.5014,0.9988,0.4222
7,111s,0.9943,0.4616,0.9988,0.4022
8,112s,0.9936,0.4531,0.9988,0.3835
9,110s,0.9938,0.4307,0.9992,0.3752
10,112s,0.9958,0.4107,0.9992,0.3620
